,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time
27,2024-02-29 21:39:44.844733953,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,
28,2024-02-29 21:39:44.846957922,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.002223969
29,2024-02-29 21:39:45.270503998,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.423546076
257,2024-02-29 21:41:49.975167036,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:02:04.704663038
258,2024-02-29 21:41:49.980204105,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.005037069
262,2024-02-29 21:41:50.400314093,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.420109988
276,2024-02-29 21:42:30.217216015,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:39.816901922
277,2024-02-29 21:42:30.221456051,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.004240036
280,2024-02-29 21:42:30.645435095,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.423979044
329,2024-02-29 21:43:39.766005039,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,1122.0,1070.0,,0,0 days 00:01:09.120569944
332,2024-02-29 21:43:39.798201084,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.032196045
334,2024-02-29 21:43:40.258479118,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,64.0,0.0,,0,0 days 00:00:00.460278034
357,2024-02-29 21:44:05.551357985,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:25.292878867
358,2024-02-29 21:44:05.555670023,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.004312038
359,2024-02-29 21:44:05.976902962,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.421232939
372,2024-02-29 21:44:35.247692108,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:29.270789146
373,2024-02-29 21:44:35.247859001,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.000166893
374,2024-02-29 21:44:35.253340960,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.005481959
375,2024-02-29 21:44:35.255352974,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.002012014
377,2024-02-29 21:44:35.265614033,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.010261059
378,2024-02-29 21:44:35.267102956,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.001488923
383,2024-02-29 21:44:35.655482054,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.388379098
384,2024-02-29 21:44:35.657844067,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.002362013
387,2024-02-29 21:44:35.792185068,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.134341001
388,2024-02-29 21:44:35.794394016,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.002208948
393,2024-02-29 21:44:35.902285099,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.107891083
394,2024-02-29 21:44:35.904256105,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.001971006
397,2024-02-29 21:44:36.372327089,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.468070984
398,2024-02-29 21:44:36.375277996,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.002950907
401,2024-02-29 21:44:36.537225008,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.161947012
402,2024-02-29 21:44:36.539745092,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.002520084
408,2024-02-29 21:44:37.191651106,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.651906014
409,2024-02-29 21:44:37.194844007,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.003192901
410,2024-02-29 21:44:37.196943998,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.002099991
414,2024-02-29 21:44:37.350214958,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.153270960
415,2024-02-29 21:44:37.352250099,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.002035141
418,2024-02-29 21:44:37.908795118,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,52.0,0.0,,0,0 days 00:00:00.556545019
419,2024-02-29 21:44:37.911628008,6.0,192.168.1.231,17.57.144.27,55368.0,5223.0,84.0,32.0,,0,0 days 00:00:00.002832890
